activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Belgische Militaire Begraafplaats Adinkerke;8660;228269;10
Provinciedomein Raversyde;8400;224209;10
Gallo-Romeins Museum (GRM);3700;314745;10
Gezellehuis;8000;211542;10
Taverne Seastar Terminal;8620;224287;10
Infopunt Visit Blankenberge;8370;228857;10
Provinciaal Groendomein Hertberg;2230;211475;10
Visit Lier;2500;219188;10
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;224551;10
Tearoom Aan Zee;8660;224810;10
Strandrolstoel en tandems;8670;228778;10
Infokantoor Markt (Historium);8000;211608;10
Chocolate Nation;2018;211447;10
Restaurant 	Verdi;8000;211608;10
Ons Margriet;2800;211185;10
Rozentuin Coloma;1600;225386;10
Heemkundig Museum Turkeyenhof;8450;263796;10
Belle Epoque Centrum;8370;228305;10
NAVIGO-Nationaal Visserijmuseum;8670;223168;10
Taverne Seastar Terminal;8620;229377;10
Graslei & Korenlei;9000;325329;10
Brasserie Entourage;8400;227447;10
Wandelen met de Joëlette (draagrolstoel);2460;219338;10
Strandjutter;8300;240756;10
Restaurant Zeepaardje;8370;220574;10
Rolstoelfietsen (Bocholt);3950;222725;10
Domein Bokrijk;3600;227508;10
Begijnhof Brugge;8000;211590;10
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;211406;10
Domeinbos Heverleebos + Meerdaalwoud;3050;357221;10
Sint-Romboutstoren;2800;210799;10
Kasteel van Gaasbeek;1750;227930;10
Middelheimmuseum;2020;346429;10
Abdijmuseum Ten Duinen ;8670;225077;10
Recreatiedomein Grasduinen;8450;226507;10
Plantentuin Meise;1860;229358;10
Wombats lenen bij Dienst Toerisme;2920;219188;10
Restaurant De Mirage;8660;229371;10
Fietsencentrum Mobiel (Handbike);8500;223218;10
Belgische Militaire Begraafplaats Adinkerke;8660;222996;10
Vlaamse Ardennenroute (120 km);9000;383589;10
Toerisme Brugge (Zeedijk);8380;211606;10
Groeningemuseum;8000;211604;10
Taverne Seastar Terminal;8620;228715;10
Resto North Sea (North Sea Bowl);8670;219749;10
Brasserie Marcel;8370;261132;10
Site John McCrae - Essex Farm Cemetery;8900;223395;10
Site Oud Sint-Jan;8000;378826;10
Restaurant De Kombuis;8380;229383;10
Fietsencentrum Mobiel (Handbike);8500;221548;10
Site John McCrae - Essex Farm Cemetery;8900;227211;10
Vayamundo De Kinkhoorn & Ravelingen;8400;228857;10
Vayamundo De Kinkhoorn & Ravelingen;8400;220930;10
Groeningemuseum;8000;211701;10
Paleis van Margareta van York;2800;211050;10
Entomopolis;3690;219930;10
The Bluff;8902;224848;10
Resto North Sea (North Sea Bowl);8670;220589;10
Leuven +;3000;211049;10
Strandrolstoel;8370;224209;10
Duinpanne;8660;229140;10
Recreatiedomein Grasduinen;8450;220104;10
La Bouffée;8340;226331;10
Site John McCrae - Essex Farm Cemetery;8900;222897;10
Improvisio;3000;210767;10
Zuivelmuseum;8370;223485;10
Tafel 10;8755;227056;10
Vlaamse Ardennenroute (120 km);9000;211866;10
Toerisme Oostende;8400;345862;10
Kelderman;9300;223181;10
Toerisme Poperinge;8970;225977;10
Restaurant Zeepaardje;8370;226507;10
Saint-Charles De Potyze;8900;225977;10
Restaurant-Taverne Tijdok;8380;220740;10
Sint-Janshospitaal (Memlingmuseum);8000;211560;10
Toerisme Knokke-Heist;8300;228997;10
Kortrijk 1302;8500;222655;10
Red Star Line Museum;2000;211054;10
Frans Ossuarium Kemmelberg - Heuvelland;8956;226363;10
Museum Schone Kunsten Gent - MSK;9000;212009;10
Site Oud Sint-Jan;8000;211552;10
Brouwerij Rodenbach;8800;221548;10
Bistro Vaudeville;8400;221616;10
Belle Epoque Centrum;8370;221781;10
Tyne Cot Cemetery & Memorial;8980;227253;10
Brasserie Entourage;8400;377927;10
Toerisme Baarle-Hertog-Nassau;2387;377889;10
MUSEA MAASEIK;3680;240747;10
Frans Ossuarium Kemmelberg - Heuvelland;8956;229617;10
DvT Koekelare;8680;221955;10
Zuivelmuseum;8370;385838;10
(elektrische) Strandjutter;8670;224366;10
Belfort Brugge;8000;211573;10
Stadhuis Zoutleeuw;3440;212510;10
Restaurant Belvedere;8400;229371;10
Restaurant-Taverne Tijdok;8380;219837;10
Coxyde Military Cemetery;8670;225880;10
Strandrolstoel;8370;227150;10
Toerisme Knokke-Heist;8300;222223;10
Restaurant Brasserie Tearoom Beach;8300;228269;10
Saint-Charles De Potyze;8900;221408;10
DvT Waregem;8790;223399;10
Museum Dr. Guislain;9000;210817;10
Talbot House and The Concert Hall;8970;226873;10
De Wereld van Kina: het Huis;9000;211844;10
Ravelingen - Den Ensor;8400;228267;10
Tearoom Désiré de Lille;2000;210832;10
strandbuggy's;8400;229381;10
Toerisme Malle;2390;219555;10
Stadhuis van Antwerpen;2000;211315;10
The Jane;2018;211054;10
Nationaal Tabaksmuseum;8940;220135;10
Cuchara;3920;227597;10
Restaurant Maria van Bourgondië;8000;211552;10
Archeologiemuseum;8000;211613;10
Vayamundo De Kinkhoorn & Ravelingen;8400;228679;10
Tearoom Désiré de Lille;2000;382870;10
Zwembad Ter Polder;8450;221323;10
Floris;8200;211587;10
Restaurant Venitien;8370;226066;10
Gezellehuis;8000;211564;10
Restaurant Bistreau;8450;227288;10
Bezoekersonthaal Kattevennen - Cosmodrome;3600;226001;10
Domein Kattevennen;3600;212310;10
Wielingenbad;8420;227135;10
Bezoekerscentrum Boekhoute;9961;228316;10
Fort Napoleon;8400;377927;10
Grand Café au Lilas Blanc;8301;222520;10
Improvisio;3000;211509;10
Toerisme Klein-Brabant - Scheldeland;2880;220976;10
’t Ankertje aan de Dijle;2800;211088;10
Sven Nys Cycling Center;3128;212442;10
Domeinbos Heverleebos + Meerdaalwoud;3050;222927;10
De Krook;9000;211411;10
Sportimonium;1981;229358;10
Provinciaal Groendomein De Averegten;2220;386609;10
Restaurant Venitien;8370;226383;10
Tearoom M due;8450;220560;10
Kasteel Wijnendale;8820;325270;10
Minnewater;8000;211576;10
Saint-Charles De Potyze;8900;379092;10
Gezellehuis;8000;211594;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;228812;10
Toerisme De Haan - Infokantoor Vosseslag;8420;219729;10
Domeinbos Heverleebos + Meerdaalwoud;3050;219668;10
Strandrolstoel;8660;225880;10
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211036;10
Stadsbrouwerij De Koninck;2018;211217;10
De Wereld van Kina: het Huis;9000;211256;10
HET STADSMUS;3500;226791;10
Ecocentrum De Goren;2400;219062;10
Ravelingen - Den Ensor;8400;221132;10
Strandrolstoel en tandems;8670;226357;10
Vayamundo De Kinkhoorn & Ravelingen;8400;229101;10
Resto North Sea (North Sea Bowl);8670;221606;10
MUSEA MAASEIK;3680;226790;10
Toerisme Malle;2390;219460;10
Industriemuseum;9000;211847;10
Archeologiemuseum;8000;211612;10
Poelcapelle British Cemetery;8920;219920;10
Café De Republiek;8000;211535;10
Restaurant Caroline;8301;220560;10
Tearoom M due;8450;220429;10
Toerisme Brugge (Zeedijk);8380;211587;10
Toerisme Poperinge;8970;227874;10
Volta.;9000;211401;10
Fort Napoleon;8400;223883;10
O.L.V. Sint-Pieterskerk;9000;210817;10
Domeinbos Heverleebos + Meerdaalwoud;3050;304044;10
Stadsmuseum 't Schippershof;8930;219628;10
Living Tomorrow;1800;226263;10
Toerisme Middelkerke;8430;226507;10
Tyne Cot Cemetery + bezoekerscentrum;8980;221893;10
Restaurant 	Verdi;8000;211563;10
Restaurant Belvedere;8400;345862;10
Tearoom Riviera;8430;220363;10
Arboretum Kalmthout EVAp vzw;2920;219285;10
Eet-praatcafé De Smidse;8430;357397;10
(elektrische) Strandjutter;8670;229360;10
strandbuggy's;8400;229368;10
Zwembad Hoge Blekker;8670;229371;10
Restaurant Comilfo;8620;226066;10
Restaurant Belvedere;8400;222996;10
Improvisio;3000;211837;10
Wombat bij Corsendonk De Linde;2470;219292;10
Bezoekerscentrum Bulskampveld;8730;220332;10
Toerisme Middelkerke;8430;221616;10
Fort Napoleon;8400;229391;10
NAVIGO-Nationaal Visserijmuseum;8670;228812;10
Fluisterboten - Maascentrum De Wissen;3650;225125;10
Sint-Niklaaskerk;8957;222707;10
Restaurant Zeepaardje;8370;219794;10
Glacier Vincent;8370;224810;10
Restaurant Venitien;8370;225077;10
Caterpillar;8902;226610;10
Toerisme Baarle-Hertog-Nassau;2387;219331;10
Red Star Line Museum;2000;211987;10
Strandrolstoel;8370;228185;10
Herisemmolen;1652;383516;10
Restaurant Caroline;8301;385838;10
Tyne Cot Cemetery & Memorial;8980;226873;10
Toerisme en Evenementen Heusden-Zolder;3550;324868;10
Paul Delvauxmuseum;8670;229380;10
Huisbrouwerij Sint Canarus;9800;222655;10
Centrum Ronde van Vlaanderen - Belevingsmuseum;9700;222592;10
Ravelingen - De Wandelaar;8400;222232;10
Tyne Cot Cemetery + bezoekerscentrum;8980;225545;10
Cafetaria De Lenspolder (kinderboerderij);8620;225512;10
Restaurant Blue Lobster;8380;229385;10
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;221036;10
Cozmix;8200;211565;10
Westfront;8620;228421;10
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211041;10
Vlaamse Ardennenroute (120 km);9000;211530;10
Stadhuis van Antwerpen;2000;211699;10
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;229456;10
Huisbrouwerij Sint Canarus;9800;220908;10
Toerisme Kasterlee;2460;357119;10
Toerisme Hasselt;3500;379597;10
Brasserie Marcel;8370;221781;10
Bistro Tearoom De Kippe;8650;227273;10
The Bluff;8902;379092;10
Restaurant Aazaert;8370;276418;10
Volta.;9000;211133;10
De Kwizien;3500;228983;10
Begijnhof Brugge;8000;211556;10
Bakkerijmuseum Walter Plaetinck-Zuidgasthuishoeve;8630;219787;10
Belfort Brugge;8000;211665;10
Onze-Lieve-Vrouwekathedraal;2000;384284;10
Talbot House and The Concert Hall;8970;227273;10
Restaurant - Tearoom De Markt;8620;226617;10
Bistro De Markt;8370;222136;10
Plattelandscentrum Meetjesland;9980;227371;10
Charles Dresse Monument;8920;219920;10
Ravelingen - Den Ensor;8400;228098;10
NAVIGO-Nationaal Visserijmuseum;8670;220413;10
Bistro Moby Dick;8400;222232;10
(elektrische) Strandjutter;8670;229101;10
Sint-Maartens Kathedraal;8900;219920;10
Plantentuin Meise;1860;219850;10
Snijders&Rockoxhuis;2000;211406;10
Wandelen met de Joëlette (draagrolstoel);2460;230462;10
Brasserie Carrousel (Hotel Cosmopolite);8620;228305;10
Strandrolstoel;8660;227374;10
Toerisme Kasterlee;2460;219426;10
STAM;9000;211724;10
La Belle;2440;219460;10
Infopunt Visit Blankenberge;8370;220413;10
Restaurant Aazaert;8370;226669;10
Station As;3665;225323;10
Zwembad Ter Polder;8450;219719;10
Kantcentrum;8000;211546;10
Vleeshuismuseum;9200;226081;10
Toeristisch infopunt Vilvoorde;1800;346162;10
Restaurant - Tearoom De Markt;8620;219717;10
Restaurant Aazaert;8370;220059;10
Infokantoor Toerisme  Aalst;9300;224507;10
DvT Waregem;8790;228555;10
De Hooipiete;8647;221423;10
MoMu - Modemuseum Antwerpen;2000;302839;10
Zuivelmuseum;8370;385266;10
Ravelingen - Den Ensor;8400;225058;10
Restaurant Caroline;8301;219794;10
Saint-Charles De Potyze;8900;227411;10
Maagdenhuismuseum;2000;211965;10
Restaurant Caroline;8301;223485;10
Bezoekerscentrum “Duvel Depot”;2870;224448;10
Spoorfietsen;2950;219098;10
Groen Waterke;2800;211088;10
Vlaamse Ardennenroute (120 km);9000;211138;10
Infokantoor Markt (Historium);8000;211580;10
Fietsbelevingscentrum De Velodroom;2850;221681;10
Restaurant Venitien;8370;227913;10
Toerisme Middelkerke;8430;228997;10
Strandbuggy en -rolstoel;8400;228421;10
Industriemuseum;9000;210817;10
Sealife Center Belgium;8370;263795;10
Toerisme Wuustwezel;2990;219555;10
Coxyde Military Cemetery;8670;219719;10
Vlaamse Ardennenroute (120 km);9000;211847;10
Begijnhof Lier;2500;211326;10
Vlaamse Ardennenroute (120 km);9000;211135;10
Site John McCrae - Essex Farm Cemetery;8900;226873;10
Onze-Lieve-Vrouwekerk;8000;264776;10
Bistro Vaudeville;8400;229393;10
Huisbrouwerij Sint Canarus;9800;224590;10
Floris;8200;211589;10
Polymnia;1850;222953;10
Wandelen met alpaca's;9660;226415;10
Taverne Seastar Terminal;8620;221898;10
Strandbuggy en -rolstoel;8400;229381;10
VVV Toerisme Essen vzw;2910;219140;10
Graslei & Korenlei;9000;211133;10
Cozmix;8200;211616;10
Wielingenbad;8420;229376;10
Museum Hof van Busleyden;2800;211310;10
Provinciaal Groendomein De Averegten;2220;219559;10
Toerisme Knokke-Heist;8300;219973;10
Vrijbroekhof;2800;211310;10
Plantentuin Meise;1860;223137;10
Brasserie Stadspark;2300;219182;10
Brouwerijbezoek De Kroon;3040;222953;10
Tearoom Aan Zee;8660;220969;10
Zwembad Ter Polder;8450;314734;10
Toeristisch infopunt Vilvoorde;1800;219850;10
The Bluff;8902;224599;10
Toerisme Kasterlee;2460;211783;10
Provinciedomein Raversyde;8400;228366;10
Red Star Line Museum;2000;212271;10
Sint-Salvatorskathedraal;8000;211597;10
Bistro Vaudeville;8400;261132;10
Restaurant Comilfo;8620;385838;10
C-Mine Expeditie;3600;384594;10
Dienst Toerisme Koksijde-Oostduinkerke;8670;240756;10
Polymnia;1850;277008;10
Les Zéphyrs;8434;223890;10
Toerisme Riemst;3770;224639;10
Chocolate Nation;2018;211371;10
Ravelingen - De Wandelaar;8400;222996;10
Recreatiedomein Grasduinen;8450;227993;10
Café De Republiek;8000;211544;10
Vinto;9770;220584;10
Toerisme De Panne;8660;228759;10
Mijnmuseum Beringen;3582;219930;10
Toerisme De Panne;8660;219729;10
Coxyde Military Cemetery;8670;222952;10
Ghent-Authentic;9000;211342;10
Provinciaal Domein Sterrebos;8800;226220;10
La Belle;2440;218963;10
Brasserie Marcel;8370;220589;10
Belle Epoque Centrum;8370;222996;10
Infopunt Visit Blankenberge;8370;228715;10
STAM - Stadsmuseum Gent;9000;211785;10
Restaurant Caroline;8301;225718;10
Dodencellen en executiepaal;8970;226363;10
Wielingenbad;8420;223168;10
Zwembad De Axolotl;9860;219636;10
Rolstoelfietsen (Bocholt);3950;261446;10
Bezoekerscentrum Doornpanne;8670;223085;10
Rolstoelfietsen;8200;211577;10
Basiliek van het Heilig Bloed;8000;211613;10
Bruges Beer Museum;8000;211585;10
Brasserie Marcel;8370;226937;10
Visit Mechelen;2800;211053;10
Restaurant Zeepaardje;8370;225145;10
Blotevoetenpad;3690;224615;10
Serpentarium;8370;226693;10
Toerisme Middelkerke;8430;385266;10
Kunsthal Gent (voomalig Caermersklooster);9000;324846;10
Red Star Line Museum;2000;346429;10
Tearoom Aan Zee;8660;225254;10
Snijders&Rockoxhuis;2000;211316;10
Toerisme Wuustwezel;2990;357119;10
VVV Toerisme Essen vzw;2910;219121;10
Bellewaerde;8902;225875;10
Stadhuis Gent;9000;211401;10
Tearoom - Eetcafé De Bretoen;8000;211577;10
Strandrolstoel;8660;225595;10
Brouwerij Timmermans;1701;223831;10
Provinciedomein Raversyde;8400;225512;10
Groeningemuseum;8000;211550;10
Belgische Militaire Begraafplaats Steenkerke;8630;227273;10
Recreatiedomein Grasduinen;8450;227142;10
Tearoom - Eetcafé De Bretoen;8000;211589;10
Permekemuseum;8490;325270;10
Serpentarium;8370;228208;10
Vinobelga;3202;212491;10
Restaurant - Tearoom De Markt;8620;227937;10
Onze-Lieve-Vrouwekerk;8000;211588;10
Bezoekerscentrum Doornpanne;8670;228997;10
Zwembad Ter Polder;8450;220104;10
Fietsencentrum Mobiel (Handbike);8500;223399;10
Brouwerij Gulden Spoor;8560;229118;10
Abdijmuseum Ten Duinen ;8670;225056;10
Snijders&Rockoxhuis;2000;211116;10
(elektrische) Strandjutter;8670;220509;10
Sint-Niklaaskerk;9000;211844;10
Brasserie Entourage;8400;229394;10
Heemkundig Museum Turkeyenhof;8450;379090;10
Visit Antwerpen - Centraal Station;2018;211318;10
Strandrolstoel en tandems;8670;378913;10
Bike Corner - verhuur tandems en elektrische fietsen;9800;229151;10
Restaurant 	Verdi;8000;211541;10
Toerisme De Panne;8660;219885;10
Maritiem Themapark Seafront;8380;378826;10
Sint-Salvatorskathedraal;8000;212267;10
Tearoom M due;8450;227374;10
Brasserie Carrousel (Hotel Cosmopolite);8620;219837;10
Suske en Wiske Museum;2920;219291;10
Bike Corner - verhuur tandems en elektrische fietsen;9800;220908;10
Hopmuseum;8970;222372;10
Restaurant Blue Lobster;8380;229391;10
strandbuggy's;8400;225512;10
Toerisme Kasterlee;2460;219303;10
het MOT;1850;229359;10
Infopunt Visit Blankenberge;8370;378812;10
Restaurant Aazaert;8370;221132;10
Toerisme De Haan - Centrum;8420;230285;10
Verhuur aangepaste fietsen – DE SNEUKELFIETS;9790;223384;10
Onze-Lieve-Vrouwekerk;9200;225592;10
Archeologiemuseum;8000;211545;10
Duinpanne;8660;229383;10
Restaurant 	Verdi;8000;211550;10
Rik Wouterstuin;2800;211185;10
Greenhouse Bistro (Radisson Blu Hotel);3500;228067;10
Museum Schone Kunsten Gent - MSK;9000;211060;10
Zwin Natuur Park;8300;225295;10
Begijnhuisje;8000;211607;10
Restaurant Bistreau;8450;226370;10
Sint-Janshospitaal;8000;211576;10
Provinciedomein Raversyde;8400;227633;10
Huisbrouwerij De Halve Maan;8000;211594;10
Sint-Carolus Borromeuskerk;2000;302839;10
Zwembad Ter Polder;8450;221410;10
Kortrijk 1302;8500;276408;10
Restaurant Belvedere Rodeberg;8954;221955;10
Recreatiedomein Grasduinen;8450;325233;10
Bijenteeltmuseum;2920;219598;10
Strandbuggy en -rolstoel;8400;230285;10
De Hooipiete;8647;224599;10
Les Zéphyrs;8434;219621;10
Zwembad Hoge Blekker;8670;220354;10
C-Mine Expeditie;3600;229397;10
Eet-praatcafé De Smidse;8430;221410;10
Bezoekerscentrum De Lambiek;1652;221705;10
Brasserie Carrousel (Hotel Cosmopolite);8620;222232;10
Bistro Vaudeville;8400;227993;10
Hof van Cortenbach;2800;211995;10
Begijnhuisje;8000;211587;10
Restaurant Caroline;8301;229390;10
NAVIGO-Nationaal Visserijmuseum;8670;276418;10
Toerisme De Haan - Infokantoor Vosseslag;8420;227142;10
Modemuseum Hasselt;3500;380742;10
Brouwerij Boon;1502;221906;10
Brasserie Entourage;8400;229393;10
Frietmuseum;8000;211576;10
Restaurant Belvedere;8400;222642;10
Belevingscentrum '14 - '18;3150;227460;10
Taverne Passage (Grand Bazar Antwerp);2000;211862;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;229392;10
Herisemmolen;1652;212540;10
Onze-Lieve-Vrouwekerk;9200;226416;10
Brouwerijbezoek huisbrouwerij Domus;3000;211049;10
Cafetaria De Lenspolder (kinderboerderij);8620;229305;10
Restaurant Comilfo;8620;263796;10
Resto North Sea (North Sea Bowl);8670;229377;10
Restaurant Comilfo;8620;227906;10
Hotel Dennenhof - restaurant;2930;219079;10
Restaurant Zeepaardje;8370;227374;10
Nationaal Park Hoge Kempen;3600;225643;10
Stadsmuseum 't Schippershof;8930;229080;10
Stadsmuseum 't Schippershof;8930;224405;10
Historium Brugge;8000;211589;10
Belgische Militaire Begraafplaats Oeren;8690;227253;10
Living Tomorrow;1800;222610;10
Kunsthal Gent (voomalig Caermersklooster);9000;212009;10
Strandrolstoel en tandems;8670;220059;10
Toerisme Middelkerke;8430;222136;10
Zwembad- en saunacomplex Sport Vlaanderen;8370;325233;10
Marktplein Brugge;8000;211551;10
Brasserie Marcel;8370;224724;10
Toerisme Tongeren;3700;220821;10
Provinciedomein Het Vinne;3440;212529;10
Fietsencentrum Mobiel (Handbike);8500;229080;10
Brasserie Entourage;8400;228267;10
Provinciaal Domein De Gavers;8530;229354;10
Bezoekerscentrum Palingbeek;8902;227253;10
Zwembad Ter Polder;8450;228366;10
Westfront;8620;221606;10
Strandjutter;8300;263795;10
Zwembad Ter Polder;8450;229463;10
strandbuggy's;8400;219621;10
Permekemuseum;8490;220332;10
Zwembad Hoge Blekker;8670;229386;10
Wandelen met de Joëlette (draagrolstoel);2460;346146;10
Restaurant - Tearoom De Markt;8620;228705;10
Nationaal Tabaksmuseum;8940;212550;10
Restaurant Bistreau;8450;220413;10
Restaurant Aazaert;8370;228128;10
Zuivelmuseum;8370;220363;10
Monument Lt. Juul De Winde;8840;224599;10
Stedelijk zwembad;8620;222996;10
Restaurant De Kombuis;8380;222996;10
strandbuggy's;8400;219973;10
Strandjutter;8300;228074;10
De Wereld van Kina: de Tuin;9000;210762;10
Belgische Militaire Begraafplaats Adinkerke;8660;228705;10
Restaurant Brasserie Tearoom Beach;8300;223257;10
Toerisme Baarle-Hertog-Nassau;2387;219029;10
Stadsmuseum 't Schippershof;8930;228880;10
Verhuur handbikes To Walk Again;2200;219510;10
Archeologiemuseum;8000;211544;10
Tearoom Aan Zee;8660;229390;10
Sint-Pieterskerk;3000;211038;10
Archeologiemuseum;8000;211572;10
Toerisme Hasselt;3500;228983;10
Begijnhuisje;8000;211589;10
Brouwerij Rodenbach;8800;227239;10
Toerisme Brasschaat;2930;219188;10
De Heeren van Liedekercke;9470;226081;10
Hidrodoe;2200;218982;10
Toerisme Brugge (Zeedijk);8380;211537;10
Belle Epoque Centrum;8370;228098;10
Serpentarium;8370;225145;10
Restaurant Comilfo;8620;240756;10
Toerisme De Haan - Centrum;8420;229377;10
Tearoom M due;8450;228426;10
Frietmuseum;8000;211536;10
Kortrijk 1302;8500;383253;10
(elektrische) Strandjutter;8670;220385;10
Restaurant Zeepaardje;8370;228565;10
Toerisme De Panne;8660;229377;10
Ravelingen - De Wandelaar;8400;225058;10
Bezoekersonthaal Kattevennen - Cosmodrome;3600;230576;10
Tearoom Riviera;8430;219811;10
Provinciedomein Raversyde;8400;219621;10
Stadhuis Zoutleeuw;3440;212477;10
Strandrolstoel;8660;229554;10
Nationaal Park Hoge Kempen;3600;220102;10
Vlaamse Ardennenroute (120 km);9000;211256;10
Toerisme Wuustwezel;2990;219288;10
Strandjutter;8430;220694;10
Toerisme De Panne;8660;223202;10
Sealife Center Belgium;8370;220589;10
Restaurant De Mirage;8660;220969;10
DvT Waregem;8790;222265;10
Museum De Mindere;3800;226791;10
Bezoekerscentrum “Duvel Depot”;2870;226081;10
Toerisme Brasschaat;2930;219163;10
Strandjutter;8300;227200;10
Heemkundig Museum Turkeyenhof;8450;228705;10
Vayamundo De Kinkhoorn & Ravelingen;8400;229140;10
Café 't Koningsrek “Zates”;2880;229329;10
Brasserie Entourage;8400;228366;10
Abdijmuseum Ten Duinen ;8670;345862;10
Leuven +;3000;210814;10
Red Star Line Museum;2000;384084;10
Plantentuin Meise;1860;221122;10
Toerisme Ieper;8900;219920;10
Bistro Vaudeville;8400;220560;10
Brasserie De Groene Hendrickx;3500;223634;10
Suske en Wiske Museum;2920;218971;10
Toerisme Temse;9140;380541;10
Red Star Line Museum;2000;383942;10
Fietsen Remory - verhuur elektrische fietsen;9230;221688;10
Eet-praatcafé De Smidse;8430;228421;10
Infopunt Visit Blankenberge;8370;225392;10
Museum aan de IJzer;8600;226610;10
Wombats lenen bij Dienst Toerisme;2920;219303;10
Toerisme Oostende;8400;263795;10
Bakkerijmuseum Walter Plaetinck-Zuidgasthuishoeve;8630;227411;10
Begijnhof Brugge;8000;211587;10
Bistro De Markt;8370;226767;10
Snijders&Rockoxhuis;2000;383942;10
Cuchara;3920;220142;10
Tearoom-restaurant Hill 60;8902;379092;10
Tyne Cot Cemetery & Memorial;8980;223152;10
Bistro ’t Verschil;8830;385202;10
Bourgoyen - Ossemeersen;9030;211170;10
Toerisme Oostende;8400;220354;10
Huisbrouwerij Sint Canarus;9800;221548;10
Cafetaria De Lenspolder (kinderboerderij);8620;221781;10
Sint-Janshospitaal;8000;211538;10
Ecocentrum De Goren;2400;219587;10
Strandrolstoel;8370;227993;10
Toerisme Sint-Katelijne-Waver;2860;382925;10
Toerisme Ieper;8900;229384;10
Belgische Militaire Begraafplaats Westvleteren;8640;221955;10
Tearoom M due;8450;221314;10
Centrum Ronde van Vlaanderen - Belevingsmuseum;9700;225873;10
Vayamundo De Kinkhoorn & Ravelingen;8400;226937;10
Belevingscentrum '14 - '18;3150;212540;10
Stedelijk zwembad;8620;379090;10
Polymnia;1850;345598;10
Restaurant-Taverne Tijdok;8380;221314;10
Historium Brugge;8000;211547;10
Tearoom Riviera;8430;220574;10
Zuivelmuseum;8370;222504;10
Serpentarium;8370;228305;10
NAVIGO-Nationaal Visserijmuseum;8670;219729;10
Bijenteeltmuseum;2920;219559;10
strandbuggy's;8400;228705;10
Bezoekerscentrum Doornpanne;8670;227603;10
Begijnhof Brugge;8000;211548;10
Maagdenhuismuseum;2000;211447;10
Provinciaal Groendomein Prinsenpark;2470;219288;10
Restaurant Caroline;8301;229380;10
De Hooipiete;8647;226873;10
Infokantoor Markt (Historium);8000;211612;10
Brouwerijbezoek De Kroon;3040;345598;10
Toerisme Oostende;8400;227993;10
Restaurant Blue Lobster;8380;225880;10
Provinciaal Groendomein Prinsenpark;2470;218982;10
Transfo;8550;224228;10
Taverne On the Beach (Casino Middelkerke);8430;222232;10
strandbuggy's;8400;222223;10
Eet-praatcafé De Smidse;8430;225058;10
Het Broek Blaasveld;2830;229221;10
Coxyde Military Cemetery;8670;261132;10
Restaurant-Taverne Tijdok;8380;228797;10
Rolstoelfietsen (Hamont-Achel);3930;221913;10
Wandelen met de Joëlette (draagrolstoel);2460;219285;10
Zwembad Ter Polder;8450;240756;10
Gandante ;9000;211724;10
Hidrodoe;2200;219188;10
Blotevoetenpad;3690;228422;10
Bistro Moby Dick;8400;223883;10
Fietsen Remory - verhuur elektrische fietsen;9230;227692;10
Provinciale Erfgoedsite Ename (Pam Ename);9700;222837;10
Groen Waterke;2800;211995;10
Wandelen met de Joëlette (draagrolstoel);2460;386761;10
Serpentarium;8370;227906;10
Site John McCrae - Essex Farm Cemetery;8900;224599;10
Zwembad Ter Polder;8450;229375;10
Toerisme De Haan - Centrum;8420;229380;10
Glacier Vincent;8370;228583;10
Stedelijk zwembad;8620;229554;10
Bike Corner - verhuur tandems en elektrische fietsen;9800;229607;10
Provinciedomein Raversyde;8400;221939;10
Abdijmuseum Ten Duinen ;8670;222117;10
Brouwerij Omer Vander Ghinste;8510;226220;10
Restaurant Brasserie Tearoom Beach;8300;225392;10
Restaurant Van Artevelde (NH Gent Belfort);9000;211060;10
Stadhuis van Antwerpen;2000;211126;10
Bezoekerscentrum Doornpanne;8670;219749;10
Recreatiedomein Grasduinen;8450;226357;10
Duinpanne;8660;219885;10
Sealife Center Belgium;8370;226669;10
Hill 60;8902;229384;10
Provinciaal Groendomein De Averegten;2220;211057;10
Restaurant Maria van Bourgondië;8000;211730;10
Belgische Militaire Begraafplaats Steenkerke;8630;219920;10
Japanse Tuin (Hasselt);3500;225877;10
De Karper;9870;225949;10
Kasteel van Gaasbeek;1750;221860;10
APB Provinciaal Recreatiedomein Zilvermeer;2400;380235;10
Bezoekerscentrum en stoeterij brouwerij Palm;1840;229076;10
Infokantoor Markt (Historium);8000;211607;10
Toerisme Wuustwezel;2990;219079;10
Stadhuis Gent;9000;211256;10
Brouwerij Gulden Spoor;8560;228880;10
Arentshuis;8000;211544;10
Tearoom Aan Zee;8660;379090;10
Strandrolstoel;8660;222996;10
Zuivelmuseum;8370;225053;10
Sel Gris;8301;382345;10
Stedelijk zwembad;8620;223168;10
The Jane;2018;211667;10
Kantcentrum;8000;211587;10
Suske en Wiske Museum;2920;386761;10
Strandjutter;8300;219621;10
Domeinbos Heverleebos + Meerdaalwoud;3050;221522;10
